frequency (Hz),MPD 600 1.1 (dBm)
3.06563e+07,-167.863
3.06875e+07,-170.696
3.07188e+07,-168.809
3.075e+07,-165.272
3.07813e+07,-163.43
3.08125e+07,-163.057
3.08438e+07,-163.389
3.0875e+07,-165.248
3.09063e+07,-171.776
3.09375e+07,-186.277
3.09688e+07,-182.93
3.1e+07,-175.659
3.10313e+07,-168.292
3.10625e+07,-165.539
3.10938e+07,-166.509
3.1125e+07,-166.641
3.11563e+07,-166.527
3.11875e+07,-171.519
3.12188e+07,-164.479
3.125e+07,-161.691
3.12813e+07,-164.003
3.13125e+07,-168.005
3.13438e+07,-169.88
3.1375e+07,-174.06
3.14063e+07,-173.277
3.14375e+07,-169.233
3.14688e+07,-170.678
3.15e+07,-164.847
3.15313e+07,-160.957
3.15625e+07,-160.51
3.15938e+07,-160.194
3.1625e+07,-158.336
3.16563e+07,-158.921
3.16875e+07,-164.365
3.17188e+07,-178.481
3.175e+07,-173.131
3.17813e+07,-166.208
3.18125e+07,-163.685
3.18438e+07,-168.082
3.1875e+07,-175.453
3.19063e+07,-166.967
3.19375e+07,-167.828
